ClassName,LCOM
AbstractAnnotation: LCOM[0.55]
VectorSeries: LCOM[0]
VectorSeriesCollection: LCOM[0.23529411764705888]
VectorXYDataset: LCOM[0]
WindDataset: LCOM[0]
XIntervalDataItem: LCOM[0]
XIntervalSeries: LCOM[0]
XIntervalSeriesCollection: LCOM[0.23809523809523814]
XisSymbolic: LCOM[0]
XYBarDataset: LCOM[0.5]
XYCoordinate: LCOM[0.16666666666666663]
XYDataItem: LCOM[0.6666666666666667]
XYDataset: LCOM[0]
XYDatasetTableModel: LCOM[0.375]
XYDomainInfo: LCOM[0]
XYInterval: LCOM[0.6]
XYIntervalDataItem: LCOM[0]
XYIntervalSeries: LCOM[0]
XYIntervalSeriesCollection: LCOM[0.33333333333333337]
XYItemKey: LCOM[0.1428571428571429]
XYRangeInfo: LCOM[0]
XYSeries: LCOM[0.8492063492063492]
XYSeriesCollection: LCOM[0.7297297297297297]
XYZDataset: LCOM[0]
YInterval: LCOM[0.33333333333333337]
YIntervalDataItem: LCOM[0]
YIntervalSeries: LCOM[0]
YIntervalSeriesCollection: LCOM[0.21052631578947367]
YisSymbolic: LCOM[0]
YWithXInterval: LCOM[0.5]
